,ues,uei,sec,soe,ulqi,neighborhood,qol_level,region,population,density,pavement,lighting,health_units,security_units,education_units,subnormal_agglom,agglom_population,average_income,crimes_ilvc,car_robbery,car_theft,ETA_S_mean,ETA_X_mean,ETA_S_std,ETA_X_std
0,0.229,0.923,0.691,0.495,0.585,Alecrim,Regular,east,26211,76.03,94.5,99.03,11,1,27,3,3345,1.44,13,147.0,20.0,355.2134963456461,255.0139004513067,131.42329870034635,98.67538836136885
1,0.038,0.972,0.878,0.595,0.621,Areia Preta,Good,east,4908,152.56,100.0,99.81,1,0,1,1,4459,4.56,2,2.0,6.0,339.6927077857477,246.83774094508271,146.9397138392233,109.06198775803404
2,0.047,0.983,0.911,0.731,0.668,Barro Vermelho,Good,east,11277,118.97,99.97,99.93,6,2,7,0,0,4.31,2,59.0,6.0,316.08691072195023,236.59130692291015,131.393067790093,94.63279940695196
3,0.095,0.697,0.641,0.4,0.458,Bom Pastor,Regular,west,18613,53.78,97.21,98.18,2,2,11,4,4966,0.75,26,56.0,5.0,401.2363421094349,293.474823007252,127.7521549620358,94.96957075728947
4,0.116,0.396,0.868,0.784,0.541,Candelária,Regular,south,25033,32.88,85.14,94.24,2,2,7,0,0,4.35,11,103.0,5.0,331.6960378460829,251.83803802331917,112.09528714149788,82.00096576568804
5,0.15,0.548,0.82,0.783,0.575,Capim Macio,Regular,south,23976,55.33,93.38,99.85,3,5,12,0,0,4.71,0,91.0,7.0,264.7506339244542,199.8262930211064,114.43110728677536,81.36737037207266
6,0.15,0.856,0.568,0.509,0.521,Cidade Alta,Regular,east,7504,64.46,100.0,99.39,1,1,11,2,2258,2.01,8,52.0,5.0,343.8958748953481,253.90540514426436,140.66919020338852,104.36595222980309
7,0.049,0.736,0.692,0.447,0.481,Cidade Nova,Regular,west,19734,75.29,87.92,97.41,1,0,11,0,0,0.83,12,33.0,8.0,448.0124756868656,325.01189248043767,135.36735852738042,112.0526307373057
8,0.128,0.972,0.684,0.568,0.588,Cidade da Esperança,Regular,west,18454,100.91,100.0,99.76,6,6,13,0,0,1.67,4,63.0,17.0,362.3801410796052,250.8121345296639,142.39190994360916,107.94707926956644
9,0.093,0.852,0.776,0.409,0.533,Dix-Sept Rosado,Regular,west,15512,141.48,99.58,99.67,3,0,10,1,2451,1.08,12,41.0,2.0,345.12517563128085,249.18354318514483,127.1116313122108,93.37582965267362
10,0.173,0.712,0.449,0.179,0.378,Felipe Camarão,Poor,west,57014,87.12,86.43,98.33,5,3,22,6,7514,0.78,21,57.0,6.0,465.872997914208,332.3792274379633,139.46998466357422,117.39290577520222
11,0.041,0.468,0.805,0.391,0.426,Guarapes,Regular,west,11459,13.23,71.47,97.13,1,0,6,1,1508,0.53,4,31.0,6.0,539.9213628235102,438.6055840395527,132.5323064268771,108.23444512467655
12,0.012,0.663,0.574,0.424,0.418,Igapó,Regular,north,30359,137.9,81.61,90.53,4,0,14,0,0,0.95,35,74.0,10.0,407.1269558706836,284.86875658238193,136.6790884021515,100.88524518985678
13,0.354,0.473,0.375,0.509,0.428,Lagoa Azul,Regular,north,68521,58.69,51.79,98.57,5,4,32,2,3779,0.79,63,155.0,18.0,493.1354046184928,359.7074347454632,132.14738107905083,104.48003949895372
14,0.399,0.803,0.817,0.687,0.677,Lagoa Nova,Good,south,39523,51.48,96.75,99.52,19,9,37,2,3052,4.01,6,199.0,20.0,301.23292932555825,227.1029318422916,115.01234583756778,79.5319102988707
15,0.036,0.943,0.865,0.585,0.607,Lagoa Seca,Good,east,4956,81.13,99.25,98.84,3,0,3,0,0,2.21,3,25.0,2.0,295.16971409333377,216.57136128208955,130.7001384955509,90.60519315314228
16,0.077,0.729,0.734,0.281,0.455,Mãe Luiza,Regular,east,14262,149.04,96.18,99.11,2,1,10,4,10500,0.87,6,57.5,1.0,409.7470175792743,314.4378767902855,137.1949877092422,111.7495651066546
17,0.254,0.695,0.847,0.675,0.618,Neópolis,Good,south,22945,71.23,88.54,97.95,4,13,17,0,0,0.32,4,69.0,5.0,322.55492973418313,238.5423851085987,116.7157678597016,87.91191212246582
18,0.064,0.845,0.878,0.499,0.572,Nordeste,Regular,west,11767,39.43,99.66,99.36,1,1,4,2,2737,1.08,18,20.0,1.0,403.837006676512,284.2170770736108,143.38154757005898,109.73664791763676
19,0.198,0.559,0.261,0.403,0.355,Nossa Senhora da Apresentação,Poor,north,100948,98.51,75.82,93.62,7,3,25,2,12743,0.81,56,223.0,26.0,470.0270473552376,341.9993671760149,130.9469146846428,105.82430183649994
20,0.07,0.89,0.914,0.49,0.591,Nossa Senhora de Nazaré,Regular,west,16481,114.44,97.5,98.34,4,0,9,0,0,1.47,3,33.0,7.0,330.1243865536434,231.42108282600745,135.88761063684674,100.13441094982568
21,0.053,0.794,0.842,0.563,0.563,Nova Descoberta,Regular,south,12326,77.61,99.19,93.34,2,1,9,0,0,2.07,3,29.0,1.0,331.7861184543909,250.63841417838069,125.8598248088142,99.95386752724036
22,0.427,0.581,0.547,0.43,0.496,Pajuçara,Regular,north,73436,95.85,56.36,95.3,6,3,29,1,8946,0.92,42,117.0,12.0,439.7932553684796,306.1013172877688,136.4449142373263,106.33419971552
23,0.143,0.713,0.725,0.765,0.587,Petrópolis,Regular,east,5816,74.16,100.0,99.88,10,0,10,0,0,6.74,3,46.0,9.0,316.40534324992643,230.5256327571713,144.64521054532767,100.43443457857276
24,0.175,0.822,0.837,0.765,0.65,Pitimbu,Good,south,25503,34.25,94.19,99.45,5,2,20,0,0,2.69,3,116.0,4.0,379.8066867884497,280.2382387061357,120.24467333118672,96.1219323982945
25,0.071,0.375,0.636,0.52,0.401,Planalto,Regular,west,39497,85.15,23.81,99.13,3,1,10,1,162,0.92,25,93.0,6.0,454.75834085722073,315.11726493037656,156.1146123216155,121.87078968086117
26,0.156,0.777,0.641,0.673,0.562,Ponta Negra,Regular,south,25208,18.24,91.64,98.65,1,4,12,1,302,3.03,3,64.0,6.0,313.8963076136116,246.94243666462725,99.51240911177663,77.77822507688578
27,0.693,0.665,0.443,0.558,0.59,Potengi,Regular,north,59083,73.87,93.11,99.31,13,14,53,0,0,1.23,28,164.0,46.0,382.92120574118826,268.13723428887243,147.73408725271855,104.9665294639279
28,0.095,0.882,0.701,0.585,0.566,Praia do Meio,Regular,east,5333,109.01,99.63,99.94,1,1,2,1,328,2.15,4,10.0,6.0,325.91339913021005,232.31592758553725,148.33555172195517,105.49197306539448
29,0.166,0.862,0.692,0.397,0.529,Quintas,Regular,west,24997,100.58,96.94,97.28,3,1,18,1,3843,0.96,23,88.0,5.0,378.10317827998085,262.96814843757534,140.27871268690993,104.11352366767534
30,0.224,0.412,0.551,0.534,0.43,Redinha,Regular,north,21048,23.95,55.75,94.11,2,0,8,2,5415,0.84,13,16.0,6.0,475.1342130471115,346.73213409878895,135.99441039129115,108.74251166616422
31,0.107,0.765,0.661,0.751,0.571,Ribeira,Regular,east,2269,24.04,97.91,85.08,7,4,3,1,345,3.97,2,7.0,4.0,338.6742860577749,245.3588600616231,145.64917390278,106.52541786126484
32,0.089,0.838,0.802,0.469,0.55,Rocas,Regular,east,10334,156.55,99.83,96.84,1,0,4,0,0,1.23,2,6.0,6.0,346.0276969848965,248.33003872844185,144.43844539368536,104.09670992440498
33,0.005,0.408,1.0,0.436,0.462,Salinas,Regular,north,1490,1.44,0.0,100.0,0,0,0,1,803,0.46,3,57.5,6.0,487.0874686815096,407.1358059650021,104.65411491377428,81.81964483191348
34,0.053,0.887,0.851,0.546,0.584,Santos Reis,Regular,east,4828,21.74,95.81,97.59,1,2,4,2,1318,1.18,5,2.0,3.0,419.89118665104473,316.3676628661992,137.76086378439553,106.6018433090119
35,0.291,0.907,0.726,0.813,0.684,Tirol,Good,east,17011,47.25,99.38,96.98,27,3,21,0,0,6.46,3,58.0,7.0,322.1197963799318,242.85909856385692,132.23273962939928,96.511810679381
